date,name,comment
2026-09-23,No Meeting,No Meeting: Workshop Agentic Workflows 09/24/2026
2026-09-24,Workshop,Agentic AI for Biomedical Data Science
2026-09-30,Zitnik Lab,Practice session: ToolUniverse
2026-10-07,No Meeting,No Meeting: Workshop ToolUniverse 10/08/2026
2026-10-08,Workshop,ToolUniverse
2026-10-14,Everyone,Discussion: Use of AI at HMS
2026-10-21,Andreas,Practice session: Local Inference
2026-10-28,Sudipta,
2026-11-04,No Meeting,No Meeting: Workshop Local Inference 11/05/2026
2026-11-05,Workshop,Local Inference
2026-11-11,No Meeting,Veterans Day
2026-11-18,Andrew,Practice session: Bayesian Statistics
2026-11-25,Grey,
2026-12-02,No Meeting,No Meeting: Workshop Bayesian Statistics 12/03/2026
2026-12-03,Workshop,Bayesian Statistics
2026-12-09,Alex,
2026-12-16,Anthony,
2026-12-23,Jane,
2026-12-30,Andreas,
